bctcb2020,cenblock20,comp2020ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,comp2021,comp2022,comp2023,cenunits20,filed,approved,permitted,withdrawn,inactive
10009001000,360610009001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0
10009001001,360610009001001,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,303,0,571,150,0,0
10009001002,360610009001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0
10009001003,360610009001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10009001004,360610009001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10009001005,360610009001005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2
10009001006,360610009001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
10009001007,360610009001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001008,360610009001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001009,360610009001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001010,360610009001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001011,360610009001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
10009001012,360610009001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0
10009001013,360610009001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0
10009001014,360610009001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,0
10009001015,360610009001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
10009001016,360610009001016,0,0,0,0,0,-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10009001017,360610009001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
10009001018,360610009001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001019,360610009001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001020,360610009001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001021,360610009001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001022,360610009001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009001023,360610009001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10009002000,360610009002000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009002001,360610009002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011000,360610010011000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011001,360610010011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011002,360610010011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011003,360610010011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011004,360610010011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011005,360610010011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011006,360610010011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011007,360610010011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011008,360610010011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010011009,360610010011009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0
10010011010,360610010011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
