ProjectID,BuildingID,ReportingConstructionType,Borough,Block,Lot,BIN,HouseNumber,StreetName,CountedRentalUnits,CountedHomeownershipUnits,AllCountedUnits,TotalBuildingUnits,BaseSquareFootage,Stories,BBL,Community Board,Council District,Census Tract,NTA,Latitude,Longitude,Postcode
58589,358074,Preservation,,1823,81,3051646,319,PUTNAM AVENUE,5,0,5,5,4872,3,3018230081,3,36,249,BK75,40.684164,-73.948948,11216
58589,358136,Preservation,,1824,56,3051695,401,PUTNAM AVENUE,6,0,6,6,5355,3,3018240056,3,36,267,BK75,40.684588,-73.94527,11216
58589,358151,Preservation,,1824,49,3051688,415,PUTNAM AVENUE,4,0,4,4,3724,3,3018240049,3,36,267,BK75,40.684643,-73.944805,11216
58589,358228,Preservation,,1825,42,3051746,493,PUTNAM AVENUE,4,0,4,4,3900,3,3018250042,3,36,267,BK75,40.684985,-73.941834,11221
58589,381667,Preservation,,1834,39,3052379,400,TOMPKINS AVENUE,15,0,15,15,8000,4,3018340039,3,36,267,BK75,40.683641,-73.94398,11216
58589,381669,Preservation,,1834,42,3052381,404,TOMPKINS AVENUE,7,0,7,7,4400,4,3018340042,3,36,267,BK75,40.683451,-73.943944,11216
58589,381673,Preservation,,1835,4,3052412,409,TOMPKINS AVENUE,4,0,4,4,4400,4,3018350004,3,36,267,BK75,40.683476,-73.943926,11216
58608,60011,Preservation,,2940,38,2000000,1816,CROTONA PARK EAST,25,0,25,25,4031,5,2029420001,3,17,163,BX99,40.837941,-73.895254,10457
58608,93371,Preservation,,2970,43,2010364,1346,LYMAN PLACE,8,0,8,8,1925,4,2029700043,3,16,125,BX35,40.829131,-73.896453,10459
58608,93374,Preservation,,2970,34,2010362,1359,LYMAN PLACE,20,0,20,20,3417,5,2029700034,3,17,151,BX35,40.829318,-73.896507,10459
58608,93375,Preservation,,2970,47,2010365,1360,LYMAN PLACE,15,0,15,15,2912,5,2029700047,3,16,125,BX35,40.829411,-73.896503,10459
58608,93376,Preservation,,2970,31,2010361,1365,LYMAN PLACE,15,0,15,15,3784,5,2029700031,3,17,151,BX35,40.829549,-73.89655,10459
58608,93377,Preservation,,2970,49,2010366,1366,LYMAN PLACE,28,0,28,28,5400,5,2029700049,3,16,125,BX35,40.829529,-73.896525,10459
58608,93379,Preservation,,2970,52,2010367,1370,LYMAN PLACE,2,0,2,2,1050,1,2029700052,3,16,125,BX35,40.829609,-73.896539,10459
58608,110036,Preservation,,2976,92,2010493,1327,SOUTHERN BOULEVARD,56,0,56,56,12347,5,2029760092,3,17,123,BX75,40.8311,-73.891485,10459
58608,110042,Preservation,,2976,87,2010492,1345,SOUTHERN BOULEVARD,50,0,50,50,9000,5,2029760087,3,17,123,BX75,40.831243,-73.891401,10459
58608,110045,Preservation,,2976,82,2100759,1357,SOUTHERN BOULEVARD,39,0,39,39,17300,5,2029760082,3,17,123,BX75,40.831339,-73.891347,10459
58608,111345,Preservation,,2964,21,2010252,1389,STEBBINS AVENUE,12,0,12,12,2840,4,2029640021,3,16,153,BX75,40.83287,-73.894127,10459
58621,972781,New Construction,,9793,78,4209584,89-48,164 STREET,174,0,174,174,44000,12,4097930078,12,24,44601,QN61,40.707058,-73.796924,11432
58623,976713,New Construction,,3291,7501,2000000,2885,MARION AVENUE,114,0,114,114,15000,8,2032910004,7,15,40702,BX05,40.868482,-73.88506,10458
58625,967648,New Construction,,5037,7507,4000000,133-45,41 AVENUE,232,0,232,232,454213,0,4050370064,7,20,871,QN22,40.757855,-73.830252,11355
58631,967649,New Construction,,2623,213,2091320,605,JACKSON AVENUE,25,0,25,25,0,0,2026230213,1,8,73,BX34,40.814748,-73.908542,10455
58638,973182,New Construction,,2351,7501,2127104,491,GERARD AVENUE,153,0,153,153,25890,13,2023517501,1,8,63,BX63,40.818285,-73.929528,10451
58658,525,Preservation,,1807,47,1054881,2334,1 AVENUE,9,0,9,9,0,5,1018070047,11,8,192,MN34,40.79838,-73.933659,10035
58658,2544,Preservation,,1621,71,1051662,1411,5 AVENUE,8,0,8,8,0,5,1016210071,11,9,184,MN34,40.800371,-73.946663,10029
58658,18802,Preservation,,1628,32,1051802,195,EAST 100 STREET,8,0,8,8,0,4,1016280032,11,8,166,MN33,40.787902,-73.947789,10029
